B		R		V	
Time	Observed	Time	Observed	Time	Observed
58204.71417	453.117683	58204.71417	455.956092	58204.71417	458.410215
58204.71434	116.05989	58204.71434	116.790796	58204.71434	117.540136
58204.71452	56.602213	58204.71452	56.923915	58204.71452	57.287698
58204.71469	35.786334	58204.71469	36.000202	58204.71469	36.224426
58204.7149	399.709661	58204.7149	403.745539	58204.7149	406.068422
58204.71507	123.111888	58204.71507	124.243998	58204.71507	124.941123
58204.71525	52.776216	58204.71525	53.041103	58204.71525	53.357874
58204.71542	32.349629	58204.71542	32.545121	58204.71542	32.736301
58204.71563	416.009634	58204.71563	419.136563	58204.71563	421.639814
58204.7158	116.468829	58204.7158	116.858565	58204.7158	117.896764
58204.71597	54.107848	58204.71597	54.281535	58204.71597	54.519446
58204.71614	34.648036	58204.71614	34.714263	58204.71614	34.960447
58204.71635	421.328246	58204.71635	423.720128	58204.71635	426.399302
58204.71652	120.826294	58204.71652	121.485944	58204.71652	122.43033
58204.71669	58.478446	58204.71669	58.743202	58204.71669	59.347725
58204.71687	36.049468	58204.71687	36.356141	58204.71687	36.613709
58204.71708	403.637082	58204.71708	400.661945	58204.71708	403.2703
58204.71725	124.65298	58204.71725	124.509158	58204.71725	126.191212
58204.71742	55.55276	58204.71742	55.609745	58204.71742	56.068119
58204.7176	34.082917	58204.7176	34.256617	58204.7176	34.616132
58204.7178	428.066194	58204.7178	431.997693	58204.7178	437.32108
58204.71798	125.351274	58204.71798	126.266182	58204.71798	127.105789
58204.71815	55.293729	58204.71815	55.470322	58204.71815	55.921942
58204.71832	37.864141	58204.71832	38.045683	58204.71832	38.387699
58204.71853	448.608156	58204.71853	446.927186	58204.71853	450.128677
58204.71871	117.007187	58204.71871	116.943521	58204.71871	118.340564
58204.71888	59.498464	58204.71888	59.784394	58204.71888	60.221712
58204.71905	35.398676	58204.71905	35.621091	58204.71905	35.897047
58204.71926	485.309253	58204.71926	486.282865	58204.71926	489.735452
58204.71944	116.764752	58204.71944	116.994015	58204.71944	118.057604
58204.71961	57.518527	58204.71961	57.751232	58204.71961	58.185319
58204.71978	37.740169	58204.71978	37.915138	58204.71978	38.111603
58204.71999	429.838958	58204.71999	431.920968	58204.71999	434.297824
58204.72016	122.057274	58204.72016	122.516464	58204.72016	123.460962
58204.72033	54.498297	58204.72033	54.741141	58204.72033	55.111749
58204.7205	36.498376	58204.7205	36.637593	58204.7205	37.017348
58204.72071	436.221943	58204.72071	445.49383	58204.72071	448.606049
58204.72088	125.220745	58204.72088	125.764876	58204.72088	126.740054
58204.72105	57.764397	58204.72105	57.968592	58204.72105	58.271127
58204.72123	34.124547	58204.72123	34.290331	58204.72123	34.560937
