 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
79,HD147302_Bessell B_1177_out.fits,79.000000,0.000000,58589.786602,2458589.786602,2458589.786532,2458589.781383,2458589.782151,1.654545,37.091453,NaN,12.000000,0.000000,0.000000,11.954766,5.000000,11.000000,17.000000,49.227367,0.000000,0.374115,0.000000,131.583647,0.000000,17673.966225,132.972463,461.750332,423.711995,462.250332,600.788005,870042.820560,78.539816,933.340178,932.181900,24937.000000,11077.729248,11.534118,448.000000,6.150660,5.789999,5.981607,5.598392,29.917966,0.982688,682.676556,646.584646,683.176556,377.915354,17673.966225,132.972463,132.914483,529.000000,225.031927,0.000000,6.130291,5.632509,5.896853,5.368165,29.957100,0.965094
80,HD147302_Bessell B_1180_out.fits,80.000000,0.000000,58589.787159,2458589.787159,2458589.787090,2458589.781941,2458589.782709,1.646960,37.292514,NaN,12.000000,0.000000,0.000000,12.550464,5.000000,11.000000,17.000000,48.480789,0.000000,0.374754,0.000000,129.366859,0.000000,17088.855345,130.753757,461.306099,423.677966,461.806099,600.822034,828481.184548,78.539816,910.652204,909.766847,21676.000000,10548.550062,8.392473,456.000000,6.641851,5.981336,6.123276,5.839396,16.904289,0.996741,682.129412,646.497975,682.629412,378.002025,17088.855345,130.753757,130.694947,495.000000,217.582064,0.000000,6.504312,5.830373,6.084422,5.576324,14.417055,0.990141
81,HD147302_Bessell B_1183_out.fits,81.000000,0.000000,58589.787714,2458589.787714,2458589.787644,2458589.782496,2458589.783264,1.639498,37.492657,NaN,12.000000,0.000000,0.000000,12.386606,5.000000,11.000000,17.000000,48.731447,0.000000,0.362080,0.000000,134.587451,0.000000,18493.366167,136.018488,460.403922,423.759292,460.903922,600.740708,901208.500987,78.539816,949.795417,948.844861,25690.000000,11474.543015,9.559902,467.000000,6.223929,5.660926,5.754409,5.567442,28.553026,0.996304,681.296778,646.623900,681.796778,377.876100,18493.366167,136.018488,135.962151,583.000000,235.464851,0.000000,5.998819,5.428171,5.514245,5.342097,29.506706,0.996207
82,HD147302_Bessell B_1186_out.fits,82.000000,0.000000,58589.788267,2458589.788267,2458589.788198,2458589.783049,2458589.783817,1.632139,37.692348,NaN,12.000000,0.000000,0.000000,11.794293,5.000000,11.000000,17.000000,48.266978,0.000000,0.347819,0.000000,138.770585,0.000000,19664.193257,140.256570,461.625676,424.280894,462.125676,600.219106,949131.186933,78.539816,974.711164,973.756352,32041.000000,12084.713603,9.932401,447.000000,5.670886,5.407282,5.518999,5.295566,28.841536,0.994031,682.589386,647.227960,683.089386,377.272040,19664.193257,140.256570,140.201583,707.000000,250.372285,0.000000,5.531094,5.153760,5.276877,5.030643,29.563586,0.991341
83,HD147302_Bessell B_1189_out.fits,83.000000,0.000000,58589.788825,2458589.788825,2458589.788755,2458589.783607,2458589.784375,1.624816,37.893400,NaN,12.000000,0.000000,0.000000,11.987354,5.000000,11.000000,17.000000,48.672121,0.000000,0.364500,0.000000,133.531153,0.000000,18204.800382,134.953595,461.227611,424.000049,461.727611,600.499951,886066.252996,78.539816,941.794382,940.827711,25197.000000,11281.745926,9.707260,463.000000,6.201449,5.826511,6.045038,5.607984,7.398340,0.993998,682.254754,646.817044,682.754754,377.682956,18204.800382,134.953595,134.896743,600.000000,231.790718,0.000000,5.978966,5.561697,5.683442,5.439952,9.652629,0.997850
84,HD147302_Bessell B_1192_out.fits,84.000000,0.000000,58589.789381,2458589.789381,2458589.789311,2458589.784163,2458589.784931,1.617594,38.094007,NaN,12.000000,0.000000,0.000000,12.078770,5.000000,11.000000,17.000000,48.586304,0.000000,0.364380,0.000000,133.339774,0.000000,18153.225029,134.762428,460.304186,423.571937,460.804186,600.928063,881998.113367,78.539816,939.486930,938.808284,25221.000000,11229.948763,6.609756,457.000000,6.181563,5.770149,6.091300,5.448999,8.055052,0.986658,681.180765,646.424686,681.680765,378.075314,18153.225029,134.762428,134.705387,569.000000,231.134040,0.000000,5.988623,5.607049,5.948972,5.265126,7.274035,0.984241
85,HD147302_Bessell B_1195_out.fits,85.000000,0.000000,58589.789934,2458589.789934,2458589.789865,2458589.784716,2458589.785485,1.610489,38.293681,NaN,12.000000,0.000000,0.000000,11.392783,5.000000,11.000000,17.000000,47.977571,0.000000,0.345680,0.000000,138.791895,0.000000,19672.607414,140.286508,459.570266,423.940347,460.070266,600.559653,943843.926971,78.539816,971.971592,971.061227,33078.000000,12017.394119,9.382567,453.000000,5.477783,5.447751,5.475810,5.419691,38.560565,0.997864,680.563818,646.886869,681.063818,377.613131,19672.607414,140.286508,140.231642,753.000000,250.479417,0.000000,5.229014,5.199807,5.262721,5.136893,32.720305,0.996611
86,HD147302_Bessell B_1198_out.fits,86.000000,0.000000,58589.790493,2458589.790493,2458589.790423,2458589.785274,2458589.786043,1.603406,38.495017,NaN,12.000000,0.000000,0.000000,11.443149,5.000000,11.000000,17.000000,48.380283,0.000000,0.353282,0.000000,136.945408,0.000000,19149.454481,138.409389,460.746509,423.853145,461.246509,600.646855,926456.032851,78.539816,962.806295,962.245508,29184.000000,11796.004575,5.475904,450.000000,5.726489,5.564568,5.646130,5.483006,32.843181,0.994933,681.748926,646.759741,682.248926,377.740259,19149.454481,138.409389,138.353724,637.000000,243.818427,0.000000,5.767026,5.380083,5.503653,5.256512,31.552875,0.989698
87,HD147302_Bessell B_1201_out.fits,87.000000,0.000000,58589.791046,2458589.791046,2458589.790976,2458589.785828,2458589.786596,1.596468,38.694517,NaN,12.000000,0.000000,0.000000,11.657298,5.000000,11.000000,17.000000,48.453567,0.000000,0.350966,0.000000,138.057733,0.000000,19461.220640,139.531091,461.536228,423.932658,462.036228,600.567342,942965.559009,78.539816,971.523482,970.605010,28008.000000,12006.210391,9.540230,450.000000,6.186183,5.535805,5.833778,5.237832,14.234469,0.985090,682.441624,646.692266,682.941624,377.807734,19461.220640,139.531091,139.475873,677.000000,247.787957,0.000000,5.685265,5.191770,5.507552,4.875989,14.558754,0.980754
88,HD147302_Bessell B_1204_out.fits,88.000000,0.000000,58589.791591,2458589.791591,2458589.791522,2458589.786373,2458589.787142,1.589698,38.891405,NaN,12.000000,0.000000,0.000000,11.855457,5.000000,11.000000,17.000000,47.685512,0.000000,0.354092,0.000000,134.669986,0.000000,18524.236536,136.132082,461.419276,423.876326,461.919276,600.623674,883337.702546,78.539816,940.305896,939.415254,25850.000000,11247.004942,8.879227,449.000000,6.132325,5.784192,5.834217,5.734166,37.855335,0.995089,682.349313,646.725428,682.849313,377.774572,18524.236536,136.132082,136.075466,571.000000,235.857905,0.000000,5.921291,5.620313,5.677451,5.563175,38.599861,0.991579
