J.D.-2400000	FILTER	Relative Flux	Relative Flux Error
57985.59697	B	0.707123	0.003429
57985.59778	B	0.715749	0.003451
57985.5986	B	0.715821	0.003446
57985.59941	B	0.718469	0.003467
57985.60022	B	0.712866	0.003418
57985.60103	B	0.716197	0.003434
57985.60185	B	0.721111	0.003464
57985.60266	B	0.720114	0.003537
57985.60347	B	0.723046	0.003712
57985.60428	B	0.729363	0.003561
57985.60509	B	0.727577	0.003766
57985.60591	B	0.73336	0.003809
57985.60672	B	0.73929	0.003794
57985.60753	B	0.738936	0.003595
57985.60834	B	0.736992	0.003599
57985.60916	B	0.729563	0.003526
57985.60997	B	0.733097	0.003612
57985.61078	B	0.731942	0.003569
57985.61159	B	0.735855	0.003521
57985.61241	B	0.741605	0.003529
57985.61322	B	0.744233	0.003554
57985.61403	B	0.742961	0.003596
57985.61484	B	0.74084	0.003872
57985.61566	B	0.759718	0.004131
57985.61647	B	0.745139	0.003609
57985.61728	B	0.747366	0.003579
57985.61809	B	0.754667	0.0036
57985.6189	B	0.745363	0.003574
57985.61971	B	0.746851	0.003681
57985.62053	B	0.753042	0.003664
57985.62134	B	0.751011	0.003658
57985.62215	B	0.762037	0.003704
57985.62296	B	0.753227	0.003628
57985.62378	B	0.754633	0.003639
57985.62459	B	0.756698	0.00368
57985.6254	B	0.758105	0.003619
57985.62621	B	0.759091	0.00368
57985.62702	B	0.757532	0.003672
57985.62784	B	0.760957	0.003717
57985.62865	B	0.745655	0.003613
57985.62946	B	0.761487	0.003649
57985.63028	B	0.773481	0.003702
57985.63109	B	0.767054	0.003698
57985.6319	B	0.76073	0.003684
57985.63272	B	0.765786	0.003695
57985.63353	B	0.755491	0.003674
57985.63434	B	0.761757	0.003683
57985.6405	B	0.768735	0.003747
57985.64131	B	0.762141	0.003741
57985.64212	B	0.763068	0.003743
57985.64293	B	0.770355	0.003776
57985.64375	B	0.772	0.003788
57985.64456	B	0.774392	0.003839
57985.64537	B	0.771694	0.003828
57985.64619	B	0.780097	0.00386
57985.647	B	0.762822	0.003807
57985.64781	B	0.771182	0.003845
57985.64862	B	0.764713	0.003823
57985.64943	B	0.777792	0.003891
57985.65025	B	0.778822	0.003901
57985.65111	B	0.779904	0.003882
57985.65192	B	0.779335	0.003912
57985.65273	B	0.780166	0.003906
57985.65355	B	0.773055	0.003971
57985.65436	B	0.762435	0.004004
57985.65517	B	0.768493	0.003953
57985.65599	B	0.771323	0.003971
57985.6579	B	0.782481	0.004005
57985.65872	B	0.773175	0.003925
57985.65953	B	0.775045	0.00393
57985.66116	B	0.769268	0.003921
57985.66197	B	0.772457	0.003948
57985.66278	B	0.775003	0.004049
57985.66464	B	0.776971	0.003995
57985.37281	V	0.726078	0.00284
57985.37362	V	0.726765	0.002841
57985.37443	V	0.728767	0.002839
57985.37525	V	0.731022	0.002843
57985.37606	V	0.734768	0.002852
57985.37691	V	0.740094	0.002877
57985.37772	V	0.740628	0.002859
57985.37854	V	0.744779	0.002875
57985.37935	V	0.742592	0.002859
57985.38016	V	0.747139	0.002874
57985.38098	V	0.749557	0.00288
57985.38179	V	0.754509	0.002899
57985.3826	V	0.760235	0.002918
57985.38341	V	0.760278	0.00292
57985.38423	V	0.759683	0.002942
57985.38504	V	0.760629	0.003006
57985.38585	V	0.761422	0.002945
57985.38666	V	0.772643	0.002959
57985.38748	V	0.769509	0.002947
57985.38829	V	0.766526	0.002935
57985.3891	V	0.770258	0.00294
57985.38992	V	0.774999	0.002963
57985.39073	V	0.776401	0.002959
57985.39154	V	0.785292	0.003002
57985.39235	V	0.784438	0.002993
57985.39317	V	0.784635	0.00298
57985.39398	V	0.788402	0.003001
57985.3948	V	0.790698	0.003
57985.39561	V	0.789618	0.003009
57985.39642	V	0.794729	0.003021
57985.39723	V	0.788714	0.002996
57985.39804	V	0.794519	0.003013
57985.39886	V	0.791355	0.002994
57985.39967	V	0.801911	0.003039
57985.40048	V	0.794111	0.003007
57985.40129	V	0.795511	0.002992
57985.40211	V	0.804395	0.003023
57985.40292	V	0.798398	0.00302
57985.40373	V	0.809307	0.003038
57985.40455	V	0.804288	0.003021
57985.40536	V	0.80836	0.003032
57985.40617	V	0.814094	0.003046
57985.40699	V	0.810266	0.00303
57985.4078	V	0.80908	0.003034
57985.40861	V	0.812587	0.003033
57985.40942	V	0.805562	0.003016
57985.41024	V	0.825489	0.003085
57985.41105	V	0.81362	0.003049
57985.41186	V	0.824675	0.003103
57985.41268	V	0.826155	0.003093
57985.41349	V	0.827045	0.003095
57985.4143	V	0.820394	0.003068
57985.41512	V	0.827979	0.003095
57985.41593	V	0.827715	0.003094
57985.41674	V	0.832392	0.003102
57985.41755	V	0.832257	0.003105
57985.41837	V	0.83158	0.003088
57985.41918	V	0.831992	0.003099
57985.42	V	0.830607	0.003094
57985.42081	V	0.831075	0.003114
57985.42162	V	0.837075	0.003119
57985.42243	V	0.841955	0.003139
57985.42324	V	0.839369	0.003122
57985.42406	V	0.833167	0.003098
57985.42487	V	0.836624	0.003113
57985.42568	V	0.840219	0.003129
57985.4265	V	0.837987	0.00311
57985.42731	V	0.836871	0.003108
57985.42812	V	0.843212	0.003132
57985.42893	V	0.847619	0.003147
57985.42975	V	0.840156	0.003125
57985.43056	V	0.842083	0.003136
57985.43137	V	0.841596	0.003138
57985.43219	V	0.845576	0.00314
57985.433	V	0.845931	0.003141
57985.43381	V	0.851831	0.003202
57985.43463	V	0.841941	0.00313
57985.43544	V	0.848881	0.003161
57985.43625	V	0.842604	0.00313
57985.43707	V	0.842078	0.003136
57985.43788	V	0.848725	0.003183
57985.43869	V	0.845317	0.003157
57985.43951	V	0.853699	0.003176
57985.44032	V	0.840785	0.003135
57985.44113	V	0.838222	0.003173
57985.44195	V	0.847734	0.003166
57985.44276	V	0.843692	0.003161
57985.44358	V	0.844458	0.003154
57985.44439	V	0.845618	0.003172
57985.4452	V	0.847906	0.00317
57985.44601	V	0.840767	0.003153
57985.44683	V	0.841545	0.003142
57985.44764	V	0.844033	0.003152
57985.44845	V	0.843686	0.003154
57985.44927	V	0.842712	0.003152
57985.45008	V	0.844883	0.003156
57985.45089	V	0.841899	0.003148
57985.45171	V	0.842779	0.003166
57985.45252	V	0.840075	0.003158
57985.45333	V	0.841569	0.00315
57985.45414	V	0.846324	0.003163
